state,county,county_fips,year,analyte_name,time_period,quarter,average_concentration,maximum_concentration,sdwa_limit,units,pws_id_number,pws_name,pws_primary_source_code,pws_population_served,pws_latitude,pws_longitude,over_limit_by
Colorado,El Paso,08041,2009,TTHM (total trihalomethanes),Quarter,3,69,86.8,80,ug/L,CO0121845,US AIR FORCE ACADEMY,SWP,15200,39.05,-104.8,+6.8 ug/L
Colorado,El Paso,08041,2009,TTHM (total trihalomethanes),Quarter,4,65.8,80.3,80,ug/L,CO0121845,US AIR FORCE ACADEMY,SWP,15200,39.05,-104.8,+0.3 ug/L
Colorado,El Paso,08041,2009,TTHM (total trihalomethanes),Year,0,43,119.6,80,ug/L,CO0121950,WOODMOOR WSD,SW,7124,39.07,-104.85,+39.6 ug/L
Colorado,El Paso,08041,2009,TTHM (total trihalomethanes),Quarter,3,81.6,119.6,80,ug/L,CO0121950,WOODMOOR WSD,SW,7124,39.07,-104.85,+39.6 ug/L
Colorado,Fremont,08043,2009,TTHM (total trihalomethanes),Year,0,58.3,80.2,80,ug/L,CO0122600,PARK CENTER WD,SW,3800,38.36,-105.36,+0.2 ug/L
Colorado,Fremont,08043,2009,TTHM (total trihalomethanes),Quarter,3,80.2,80.2,80,ug/L,CO0122600,PARK CENTER WD,SW,3800,38.36,-105.36,+0.2 ug/L
Colorado,Garfield,08045,2009,TTHM (total trihalomethanes),Year,0,74.8,179,80,ug/L,CO0123601,PANORAMIC MESA SUBD,GW,45,39.57,-107.67,+99 ug/L
Colorado,Garfield,08045,2009,TTHM (total trihalomethanes),Quarter,3,113.9,179,80,ug/L,CO0123601,PANORAMIC MESA SUBD,GW,45,39.57,-107.67,+99 ug/L
Colorado,Garfield,08045,2009,TTHM (total trihalomethanes),Year,0,44,96.9,80,ug/L,CO0123602,PARACHUTE TOWN OF,SW,1320,39.47,-108.01,+16.9 ug/L
Colorado,Garfield,08045,2009,TTHM (total trihalomethanes),Quarter,3,82.6,96.9,80,ug/L,CO0123602,PARACHUTE TOWN OF,SW,1320,39.47,-108.01,+16.9 ug/L
