state,county,county_fips,year,analyte_name,time_period,quarter,average_concentration,maximum_concentration,sdwa_limit,units,pws_id_number,pws_name,pws_primary_source_code,pws_population_served,pws_latitude,pws_longitude
Colorado,Douglas,08035,2021,HAA5 (haloacetic acids),Quarter,3,11.1875,NA,60,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,TTHM (total trihalomethanes),Quarter,3,37.5625,NA,80,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,HAA5 (haloacetic acids),Quarter,4,10.5125,NA,60,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,TTHM (total trihalomethanes),Quarter,4,37.15,NA,80,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,Atrazine,Quarter,2,0.05,NA,3,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,Nitrate,Quarter,3,0.1833,NA,10,mg/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,Atrazine,Quarter,3,0.05,NA,3,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,8035,2022,Arsenic,Year,0,1.2667,2.2,10,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.54,-104.97
Colorado,Douglas,8035,2022,Nitrate,Year,0,0.0867,0.12,10,mg/L,CO0118015,CENTENNIAL WSD,SW,103444,39.54,-104.97
Colorado,Douglas,8035,2022,HAA5 (haloacetic acids),Year,0,9.1656,14,60,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.54,-104.97
Colorado,Douglas,8035,2022,TTHM (total trihalomethanes),Year,0,22.7656,38.4,80,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.54,-104.97
Colorado,Douglas,8035,2022,TCE (trichloroethylene),Year,0,0.25,0.25,5,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.54,-104.97
Colorado,Douglas,8035,2022,PCE (tetrachloroethylene),Year,0,0.25,0.25,5,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.54,-104.97
Colorado,Douglas,8035,2022,HAA5 (haloacetic acids),Quarter,1,11.55,NA,60,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.54,-104.97
Colorado,Douglas,8035,2022,TTHM (total trihalomethanes),Quarter,1,27.2875,NA,80,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.54,-104.97
Colorado,Douglas,8035,2022,HAA5 (haloacetic acids),Quarter,2,12.0875,NA,60,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.54,-104.97
Colorado,Douglas,8035,2022,TTHM (total trihalomethanes),Quarter,2,26.4,NA,80,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.54,-104.97
Colorado,Douglas,8035,2022,HAA5 (haloacetic acids),Quarter,3,11.4625,NA,60,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.54,-104.97
Colorado,Douglas,8035,2022,TTHM (total trihalomethanes),Quarter,3,33.2375,NA,80,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.54,-104.97
Colorado,Douglas,8035,2022,HAA5 (haloacetic acids),Quarter,4,1.5625,NA,60,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.54,-104.97
Colorado,Douglas,8035,2022,TTHM (total trihalomethanes),Quarter,4,4.1375,NA,80,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.54,-104.97
Colorado,Douglas,8035,2022,Nitrate,Quarter,3,0.0867,NA,10,mg/L,CO0118015,CENTENNIAL WSD,SW,103444,39.54,-104.97
